title,company,location,description
PROFESSOR F/M/D,EBS Universität für Wirtschaft und Recht,Oestrich-Winkel,"“EBS Universität für Wirtschaft und Recht” is a private, state-recognized university with campuses in Oestrich-Winkel and Wiesbaden, Germany."
Machine Learning Research Scientist (m/f/d),neurocat GmbH,Berlin,"Strong background in optimization theory, statistics and data analysis.Our office is located directly in the heart of the science park Berlin Adlershof, a…"
PCOR Lead,UCB S.A.,Monheim,"Experience in clinical trial study design, selection of screening tools, development of study protocols and statistical analysis plans, collection and analysis…"
Postdoctoral researcher (m/f/d),Leibniz-Gemeinschaft,Hamburg,The project team will use genetics and cell biology combined with high end -omics approaches to draw on strong preliminary data to link local nuclear protein…
Research Assist­ant - salary grade E 13 TV-L Ber­liner Hoch­schu­len,Technische Universität Berlin,Berlin,"Addressing scientific and technical challenges like scalable device integration, sensor data fusion, data analysis, and visualization for CAM scenarios."
Werkstudent (w/m/d) Kommunikation der digitalen Transformation,LANXESS,Köln,"Wenn die Chemie stimmt, können wir bei LANXESS viel bewegen: Sport beschleunigen, Getränke länger haltbar machen, der Freizeit mehr Farbe geben und noch vieles…"
Architect Manager,Microsoft,München,Microsoft Services helps customers realise their full potential through accelerated adoption and productive use of Microsoft technologies.BS/BA or MBA degree.
"Working Student (f/m/d): SAP Knowledge and Education, Product Knowledge Development",SAP,Walldorf, Student (f/m/d) - at a university or university of applied science.Employment Type: Limited Part Time.SAP started in 1972 as a team of five colleagues with…
Research Associate,Technische Universität Dresden,Dresden,"Reference to data protection: Your data protection rights, the purpose for which your data will be processed, as well as further information about data…"
Teamleiter Recherche und Analyse – Modellierungsprojekte (m/w/d),Statista,Hamburg,Werde Teil unseres internationalen Teams.Statista ist eines der führenden Statistik-Portale der Welt.Mit 900 Mitarbeitern aus über 57 verschiedenen Nationen…
Senior Consultant - Risk Consulting Liability (m/f/d),Allianz Global Corporate & Specialty,München,University degree in an engineering or natural science discipline.Screen developments in the relevant fields of expertise to detect and report on interesting…
Data Engineer - Purchase Risk Management (w/m/d),Zalando,Berlin,"Responsible for doing ad-hoc data analysis.You are responsible for data quality, integrity and availability.Gathering, transforming and providing high quality…"
Junior Softwareentwickler (m/w/x) C#,infoteam Software AG,Erlangen,"Junior Softwareentwickler (m/w/x) C#.Wir bei infoteam realisieren seit fast 40 Jahren spezifische Softwarelösungen für unsere Kunden aus den Märkten Industry,…"
Consultant – Development Finance (m/w/*) bei Seek Development,Talents4Good GmbH,Berlin,"Strong command of R for data cleaning and data manipulation is a must.Excellent knowledge of current development finance landscape and architecture, and…"
Frontend Angular Engineer (m/f/x),Celonis SE,München,You are passionate about data visualization and developing web applications?... have an above – average university degree in the area of computer science or a…
Lead Conversational AI Architect,Change Healthcare,Sachsen-Anhalt,"Experience with large data sets and distributed computing (Spark).You are focused on results, a self-starter, able to put the team first, and have demonstrated…"
Quality Assurance Specialist (m/w/d),Thermo Fisher Scientific,Germering,"Perform analysis of the external and internal product quality data.Thermo Fisher Scientific Inc. is the world leader in serving science, with annual revenue…"
CISO / Information Security Director (m/f/d),HRS Group,Köln,Integrates IT systems/development with security policies and data protection strategies.At HRS “We love to make it happen”: We are the global market leader…
Customer Notification Expert (m/w/d),Randstad Deutschland,Darmstadt,"Because we know from experience that real connections do not arise from data and algorithms - they need human interaction, empathy and intuition."
Research Associate (subject to personal qualification employees are remunerated according to salary group E 13 TV-L),Technische Universität Dresden,Deutschland,"Reference to data protection: Your data protection rights, the purpose for which your data will be.This involves aspects of data placement for systems."
Team Lead Analytics (m/w/d),Axel Springer,Hamburg,"Immowelt steht für reichweitenstarke Portale und leistungsstarke Software.Unser Motor sind die Immobilienportale immowelt und immonet, die zu den führenden im…"
Senior Account Manager,Codepan GmbH,Berlin-Kreuzberg,"An interest in data science, machine learning and AI.We bring all this together to design, implement and deploy data science projects that work."
Postdoctoral position (m/f/d) to participate in the EU-funded project H2020 – SPACE – XMM2ATHENA,Leibniz Institut für Astrophysik,Potsdam,"Images to reach ultimate sensitivity and allow for multi-epoch timing studies in XMM-Newton data.Astrophysics, supported by a large technology branch on…"
EU Access Solution Lead,UCB S.A.,Monheim,"Life science education background preferable.Strong analytical capabilities of understanding and strategizing clinical data, biostatistics and interpreting…"
Mobile Phone Tester,Manning Global,Düsseldorf,"Prefer to having working experience on phones or data-stick, having the knowledge on integrated systems.Our client, a global leading ICT company, is recruiting…"
(Junior) Developer for Cloud Native Projects (f/m/d),SAP,Potsdam,"Experience with object-oriented programming, common data structures, and algorithms.Good degree in computer science, software engineering, or a related field …"
Business Development Working Student/Intern,Bell Ventures,Berlin,"Early-stage startup experience, ideally as a product manager / owner who has worked very cross-functionally (marketing, customer success, sales, data, etc.)."
Client Security Assurance Specialist (f/m/d) EY Technology Information Security,EY,Frankfurt am Main,"Understanding of security related regulatory and data privacy concerns globally.Our Information Security (Info Sec) Team prevents, detects, responds and…"
Junior Online Marketing Manager (CONTENT / SEO),datapine GmbH,Berlin,"We have developed a powerful data analysis and visualization solution for small and medium-sized companies.RIB datapine is a young, innovative and fast-growing…"
(Senior) Manager (m/f/d) HR Analytics & Planning,Fresenius Medical Care,Bad Homburg vor der Höhe,"Broad HR knowledge with understanding of complex data sets, statistics, machine learning as well as behavioral and organization dynamics are required."
Director of Engineering (m/f/x),Zenjob,Berlin,Strong educational qualifications in computer science.Zenjob is a Berlin-based fast-growing digital staffing company backed by strong international investors…
Senior Python Backend Developer (m/f/d),neurocat GmbH,Berlin,"Experience in handling big amounts of data.Our office is located directly in the heart of the science park Berlin Adlershof, a brief 10-minute walk from the S…"
(Associate) Developer (f/m/d) - SAP Cloud Platform - Cloud Native Buildpacks,SAP,Walldorf,"You will identify areas for improvement using data from productive applications and services, as well as help automating our operations and configuration."
Senior Database Administrator (f/m/x),DONE! Berlin,München,Being part of a strong and unique growth story – the largest digital Private Markets network based on innovative data gathering and state-of-the art analytical…
Senior Solution Architect (m/f/x),Celonis SE,München,"… have experience with data pipelines and ETL processes, ideally for larger volumes of data.… have a university degree in the area of computer science or a…"
Quality Assurance Specialist (m/w/d) in Germering,Thermo Fisher Scientific,Olching,"Perform analysis of the external and internal product quality data.Thermo Fisher Scientific Inc. is the world leader in serving science, with annual revenue…"
Client Delivery Executive Civil Security Authorities (m/w/d),Atos,München,"A degree in computer science or a comparable qualification.Client Delivery Executive Civil Security Authorities (m/w/d).Publish Date: Dec 18, 2020."
Group Lead Digital Marketing (m/w/d),Axel Springer,Hamburg,"Immowelt steht für reichweitenstarke Portale und leistungsstarke Software.Unser Motor sind die Immobilienportale immowelt und immonet, die zu den führenden im…"
